stichdatum,plz,geschlecht,vorname,anzahl,rang,ortbez18
2021-03-01,1486,w,n/a,4,2,Vuissens
2021-03-01,1486,m,n/a,5,2,Vuissens
2021-03-01,1486,m,n/a,3,4,Vuissens
2021-03-01,1489,w,Isabelle,7,1,Murist
2021-03-01,1489,w,Corinne,6,2,Murist
2021-03-01,1510,w,Nicole,25,3,Syens/Moudon
2021-03-01,1510,w,Patricia,23,4,Syens/Moudon
2021-03-01,1510,m,Antonio,72,2,Syens/Moudon
2021-03-01,1510,m,Daniel,43,3,Syens/Moudon
2021-03-01,1510,m,Manuel,37,5,Syens/Moudon
2021-03-01,1512,m,n/a,2,4,Chavannes-s-Moudon
2021-03-01,1515,w,n/a,3,1,Villars-le-Comte/Neyruz-sur-Moudon
2021-03-01,1515,m,n/a,5,1,Villars-le-Comte/Neyruz-sur-Moudon
2021-03-01,1515,m,n/a,4,2,Villars-le-Comte/Neyruz-sur-Moudon
2021-03-01,1521,m,n/a,5,1,Curtilles
2021-03-01,1521,m,n/a,4,2,Curtilles
2021-03-01,1522,w,Maria,62,1,Oulens-sur-Lucens/Lucens
2021-03-01,1522,w,Isabelle,13,5,Oulens-sur-Lucens/Lucens
2021-03-01,1522,m,Antonio,24,2,Oulens-sur-Lucens/Lucens
2021-03-01,1523,m,André,12,3,Granges-Marnand
2021-03-01,1523,m,Nicolas,11,5,Granges-Marnand
2021-03-01,1523,m,Pierre,11,5,Granges-Marnand
2021-03-01,1523,m,Jacques,11,5,Granges-Marnand
2021-03-01,1524,w,n/a,5,1,Marnand
2021-03-01,1524,w,n/a,3,2,Marnand
2021-03-01,1525,w,n/a,5,2,Henniez/Seigneux
2021-03-01,1525,m,André,7,2,Henniez/Seigneux
2021-03-01,1526,w,n/a,3,1,Cremin/Forel-sur-Lucens
2021-03-01,1526,m,n/a,5,1,Cremin/Forel-sur-Lucens
2021-03-01,1527,w,n/a,4,1,Villeneuve FR
2021-03-01,1528,w,n/a,4,1,Praratoud/Surpierre
2021-03-01,1529,m,n/a,4,2,Cheiry
2021-03-01,1530,w,Patricia,48,3,Payerne
2021-03-01,1530,w,Catherine,40,4,Payerne
2021-03-01,1532,w,Isabelle,7,5,Fétigny
2021-03-01,1532,w,Nicole,7,5,Fétigny
2021-03-01,1532,m,Julien,9,2,Fétigny
2021-03-01,1532,m,Daniel,9,2,Fétigny
2021-03-01,1533,w,n/a,4,1,Ménières
2021-03-01,1533,w,n/a,3,4,Ménières
2021-03-01,1533,m,n/a,4,1,Ménières
2021-03-01,1534,w,n/a,4,1,Sassel/Chapelle (Broye)
2021-03-01,1534,w,n/a,3,2,Sassel/Chapelle (Broye)
2021-03-01,1534,m,n/a,5,1,Sassel/Chapelle (Broye)
2021-03-01,1534,m,n/a,2,4,Sassel/Chapelle (Broye)
2021-03-01,1535,w,n/a,5,1,Combremont-Grand
2021-03-01,1535,m,n/a,5,2,Combremont-Grand
2021-03-01,1536,m,Michel,6,1,Combremont-Petit
2021-03-01,1536,m,Marc,6,1,Combremont-Petit
2021-03-01,1537,m,n/a,3,3,Champtauroz
2021-03-01,1541,w,Sylvie,13,1,Morens FR/Sévaz/Bussy FR
2021-03-01,1541,m,Cédric,9,1,Morens FR/Sévaz/Bussy FR
2021-03-01,1541,m,Philippe,8,4,Morens FR/Sévaz/Bussy FR
2021-03-01,1542,m,Michel,8,1,Rueyres-les-Prés
2021-03-01,1542,m,Daniel,6,3,Rueyres-les-Prés
2021-03-01,1543,w,Sandra,16,1,Grandcour
2021-03-01,1543,w,Maria,11,2,Grandcour
2021-03-01,1543,w,Léa,7,3,Grandcour
2021-03-01,1543,m,Jean-Claude,8,5,Grandcour
2021-03-01,1544,w,Vanessa,6,4,Gletterens
2021-03-01,1544,m,Michel,13,1,Gletterens
2021-03-01,1545,w,n/a,5,1,Chevroux
2021-03-01,1545,m,Olivier,8,1,Chevroux
2021-03-01,1545,m,Daniel,7,2,Chevroux
2021-03-01,1551,w,n/a,3,5,Vers-chez-Perrin
2021-03-01,1551,m,n/a,3,3,Vers-chez-Perrin
2021-03-01,1552,w,n/a,4,2,Trey
2021-03-01,1552,m,n/a,4,1,Trey
2021-03-01,1553,w,Fabienne,8,2,Châtonnaye
2021-03-01,1553,w,Sonia,6,4,Châtonnaye
2021-03-01,1553,m,Thomas,10,1,Châtonnaye
2021-03-01,1553,m,Philippe,8,4,Châtonnaye
2021-03-01,1554,m,n/a,4,2,Sédeilles/Rossens VD
2021-03-01,1554,m,n/a,3,3,Sédeilles/Rossens VD
2021-03-01,1555,w,n/a,3,3,Villarzel
2021-03-01,1555,m,n/a,3,3,Villarzel
2021-03-01,1562,w,Maria,33,1,Corcelles-Payerne
2021-03-01,1562,w,Nicole,13,5,Corcelles-Payerne
2021-03-01,1562,m,Laurent,21,3,Corcelles-Payerne
2021-03-01,1563,w,Maria,14,1,Dompierre FR
2021-03-01,1563,w,Laurence,7,4,Dompierre FR
2021-03-01,1563,m,Michel,12,1,Dompierre FR
2021-03-01,1564,w,Maria,32,1,Domdidier
2021-03-01,1564,w,Sandra,22,2,Domdidier
2021-03-01,1564,w,Isabelle,16,4,Domdidier
2021-03-01,1564,m,David,23,3,Domdidier
2021-03-01,1565,w,Isabelle,6,1,Missy/Vallon
2021-03-01,1565,m,Julien,7,2,Missy/Vallon
2021-03-01,1565,m,Bernard,6,5,Missy/Vallon
2021-03-01,1565,m,Daniel,6,5,Missy/Vallon
2021-03-01,1565,m,Sébastien,6,5,Missy/Vallon
2021-03-01,1566,w,Christine,12,2,St-Aubin FR/Les Friques
2021-03-01,1566,m,Michel,17,1,St-Aubin FR/Les Friques
2021-03-01,1566,m,David,16,2,St-Aubin FR/Les Friques
2021-03-01,1566,m,Bernard,12,5,St-Aubin FR/Les Friques
2021-03-01,1566,m,Daniel,12,5,St-Aubin FR/Les Friques
2021-03-01,1567,w,n/a,3,2,Delley
2021-03-01,1567,m,n/a,5,2,Delley
2021-03-01,1568,m,Pascal,7,4,Portalban
2021-03-01,1580,m,Daniel,37,3,Oleyres/Donatyre/Avenches
2021-03-01,1580,m,Antonio,33,4,Oleyres/Donatyre/Avenches
2021-03-01,1583,m,Patrick,6,3,Villarepos
2021-03-01,1584,m,n/a,5,2,Villars-le-Grand
2021-03-01,1584,m,n/a,4,3,Villars-le-Grand
2021-03-01,1585,w,Suzanne,9,2,Salavaux/Bellerive VD/Cotterd
2021-03-01,1585,w,Chantal,9,2,Salavaux/Bellerive VD/Cotterd
2021-03-01,1586,w,Nicole,6,2,Vallamand
2021-03-01,1586,m,André,6,4,Vallamand
2021-03-01,1586,m,Thomas,6,4,Vallamand
2021-03-01,1586,m,Sylvain,6,4,Vallamand
2021-03-01,1587,m,n/a,5,1,Montmagny/Constantine
2021-03-01,1588,w,Marie,10,3,Cudrefin
2021-03-01,1588,w,Christine,10,3,Cudrefin
2021-03-01,1588,m,Pascal,15,2,Cudrefin
2021-03-01,1589,w,n/a,4,3,Chabrey
2021-03-01,1595,m,Daniel,13,1,Faoug/Clavaleyres
2021-03-01,1595,m,Marc,10,2,Faoug/Clavaleyres
2021-03-01,1595,m,Beat,9,3,Faoug/Clavaleyres
2021-03-01,1595,m,Andreas,7,4,Faoug/Clavaleyres
2021-03-01,1595,m,Christian,7,4,Faoug/Clavaleyres
2021-03-01,1595,m,Michel,7,4,Faoug/Clavaleyres
2021-03-01,1595,m,André,7,4,Faoug/Clavaleyres
2021-03-01,1607,w,Marie,10,5,Les Tavernes/Les Thioleyres/Palézieux-Village/Palézieux
2021-03-01,1607,m,Daniel,22,1,Les Tavernes/Les Thioleyres/Palézieux-Village/Palézieux
2021-03-01,1607,m,Christian,16,3,Les Tavernes/Les Thioleyres/Palézieux-Village/Palézieux
2021-03-01,1607,m,Eric,15,4,Les Tavernes/Les Thioleyres/Palézieux-Village/Palézieux
2021-03-01,1608,w,Christine,8,3,Chapelle (Glâne)/Bussigny-sur-Oron/Chesalles-sur-Oron/Oron-le-Châtel
2021-03-01,1608,w,Sophie,8,3,Chapelle (Glâne)/Bussigny-sur-Oron/Chesalles-sur-Oron/Oron-le-Châtel
2021-03-01,1608,m,Bernard,12,1,Chapelle (Glâne)/Bussigny-sur-Oron/Chesalles-sur-Oron/Oron-le-Châtel
2021-03-01,1608,m,Michel,10,2,Chapelle (Glâne)/Bussigny-sur-Oron/Chesalles-sur-Oron/Oron-le-Châtel
2021-03-01,1608,m,Christophe,9,5,Chapelle (Glâne)/Bussigny-sur-Oron/Chesalles-sur-Oron/Oron-le-Châtel
2021-03-01,1609,w,Christine,9,1,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,w,Catherine,8,5,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,m,Michel,10,3,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,m,Marc,9,4,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,m,Pierre,8,5,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,m,Stéphane,8,5,Besencens/Fiaugères/St-Martin FR
2021-03-01,1609,m,Claude,8,5,Besencens/Fiaugères/St-Martin FR
2021-03-01,1610,w,Sophie,13,5,Oron-la-Ville/Châtillens/Vuibroye
2021-03-01,1610,m,Pierre,21,2,Oron-la-Ville/Châtillens/Vuibroye
2021-03-01,1610,m,Michel,17,5,Oron-la-Ville/Châtillens/Vuibroye
2021-03-01,1610,m,Olivier,17,5,Oron-la-Ville/Châtillens/Vuibroye
2021-03-01,1611,w,Maria,6,1,Le Crêt-p-Semsales
2021-03-01,1611,w,n/a,4,4,Le Crêt-p-Semsales
2021-03-01,1611,m,Michel,8,1,Le Crêt-p-Semsales
2021-03-01,1612,m,n/a,5,2,Ecoteaux
2021-03-01,1614,w,Nathalie,8,2,Granges (Veveyse)
2021-03-01,1614,w,Marie,7,3,Granges (Veveyse)
2021-03-01,1614,w,Sandra,7,3,Granges (Veveyse)
2021-03-01,1615,w,Maria,13,1,Bossonnens
2021-03-01,1615,m,Nicolas,18,2,Bossonnens
2021-03-01,1615,m,David,13,3,Bossonnens
2021-03-01,1615,m,Daniel,13,3,Bossonnens
2021-03-01,1616,w,Maria,28,1,Attalens
2021-03-01,1616,w,Nathalie,21,2,Attalens
2021-03-01,1616,w,Christiane,16,4,Attalens
2021-03-01,1616,w,Nicole,15,5,Attalens
2021-03-01,1616,m,Nicolas,22,1,Attalens
2021-03-01,1616,m,Alexandre,21,4,Attalens
2021-03-01,1617,w,Maria,11,1,Remaufens/Tatroz
2021-03-01,1617,m,David,13,3,Remaufens/Tatroz
2021-03-01,1618,w,Marie,29,5,Châtel-St-Denis
2021-03-01,1618,m,José,51,3,Châtel-St-Denis
2021-03-01,1619,m,David,17,2,Les Paccots
2021-03-01,1623,m,Christophe,18,1,Semsales
2021-03-01,1623,m,Laurent,12,2,Semsales
2021-03-01,1624,w,Sandrine,7,1,La Verrerie/Grattavache/Progens
2021-03-01,1624,m,Philippe,7,1,La Verrerie/Grattavache/Progens
2021-03-01,1624,m,Colin,6,5,La Verrerie/Grattavache/Progens
2021-03-01,1624,m,Fabien,6,5,La Verrerie/Grattavache/Progens
2021-03-01,1625,w,Marie,13,1,Sâles (Gruyère)/Maules
2021-03-01,1625,m,Laurent,10,1,Sâles (Gruyère)/Maules
2021-03-01,1625,m,Nicolas,9,2,Sâles (Gruyère)/Maules
2021-03-01,1626,m,Frédéric,9,1,Treyfayes/Romanens/Rueyres-Treyfayes
2021-03-01,1626,m,Christian,6,4,Treyfayes/Romanens/Rueyres-Treyfayes
2021-03-01,1627,w,Nathalie,8,3,Vaulruz
2021-03-01,1627,m,Pierre,13,2,Vaulruz
2021-03-01,1628,w,Christine,22,1,Vuadens
2021-03-01,1628,w,Catherine,20,2,Vuadens
2021-03-01,1628,w,Véronique,18,3,Vuadens
2021-03-01,1628,m,Nicolas,25,1,Vuadens
2021-03-01,1628,m,Claude,19,3,Vuadens
2021-03-01,1630,w,Catherine,87,5,Bulle
2021-03-01,1630,m,Michel,149,1,Bulle
2021-03-01,1630,m,Pierre,122,4,Bulle
2021-03-01,1632,w,Nathalie,18,1,Riaz
2021-03-01,1632,w,Nicole,16,3,Riaz
2021-03-01,1632,w,Denise,16,3,Riaz
2021-03-01,1632,m,Nicolas,20,3,Riaz
2021-03-01,1632,m,Eric,17,5,Riaz
2021-03-01,1633,w,Chantal,12,3,Vuippens/Marsens
2021-03-01,1633,w,Céline,11,5,Vuippens/Marsens
2021-03-01,1633,w,Corinne,11,5,Vuippens/Marsens
2021-03-01,1633,m,Michel,18,2,Vuippens/Marsens
2021-03-01,1634,m,Patrick,15,5,La Roche FR
2021-03-01,1634,m,Frédéric,15,5,La Roche FR
2021-03-01,1635,w,Marie,40,2,La Tour-de-Trême
2021-03-01,1635,w,Monique,28,5,La Tour-de-Trême
2021-03-01,1635,m,Christian,34,2,La Tour-de-Trême
2021-03-01,1635,m,José,32,3,La Tour-de-Trême
2021-03-01,1635,m,David,32,3,La Tour-de-Trême
2021-03-01,1635,m,André,31,5,La Tour-de-Trême
2021-03-01,1636,w,Maria,35,1,Broc
2021-03-01,1636,w,Ana,27,2,Broc
2021-03-01,1636,m,Daniel,26,2,Broc
2021-03-01,1636,m,José,25,3,Broc
2021-03-01,1637,w,Maria,24,2,Charmey (Gruyère)
2021-03-01,1637,w,Françoise,20,4,Charmey (Gruyère)
2021-03-01,1638,w,Chantal,7,2,Morlon
2021-03-01,1638,w,Elisabeth,6,3,Morlon
2021-03-01,1638,m,Michel,11,1,Morlon
2021-03-01,1638,m,Bernard,8,2,Morlon
2021-03-01,1642,w,Anne,9,4,Sorens
2021-03-01,1642,w,Nicole,8,5,Sorens
2021-03-01,1642,m,Pierre,12,3,Sorens
2021-03-01,1642,m,Alexandre,12,3,Sorens
2021-03-01,1643,w,Elisabeth,7,1,Gumefens
2021-03-01,1643,w,Céline,6,3,Gumefens
2021-03-01,1643,m,Laurent,12,1,Gumefens
2021-03-01,1644,m,Guillaume,8,1,Avry-devant-Pont
2021-03-01,1644,m,Michel,7,2,Avry-devant-Pont
2021-03-01,1644,m,Bernard,7,2,Avry-devant-Pont
2021-03-01,1645,m,n/a,4,2,Le Bry
2021-03-01,1646,w,Isabelle,6,2,Echarlens
2021-03-01,1646,w,Laura,6,2,Echarlens
2021-03-01,1647,w,Isabelle,7,1,Corbières
2021-03-01,1648,w,n/a,5,1,Hauteville
2021-03-01,1648,w,n/a,4,5,Hauteville
2021-03-01,1648,m,Stéphane,6,3,Hauteville
2021-03-01,1649,m,Philippe,7,3,Pont-la-Ville
2021-03-01,1649,m,Alexandre,7,3,Pont-la-Ville
2021-03-01,1652,w,Maria,7,2,Botterens/Villarbeney
2021-03-01,1652,m,Laurent,8,2,Botterens/Villarbeney
2021-03-01,1652,m,Frédéric,7,3,Botterens/Villarbeney
2021-03-01,1652,m,Jean,6,4,Botterens/Villarbeney
2021-03-01,1652,m,Philippe,6,4,Botterens/Villarbeney
2021-03-01,1652,m,Nicolas,6,4,Botterens/Villarbeney
2021-03-01,1653,m,Michel,11,2,Châtel-Montsalvens/Crésuz
2021-03-01,1653,m,Jean-Claude,10,3,Châtel-Montsalvens/Crésuz
2021-03-01,1653,m,Christian,8,5,Châtel-Montsalvens/Crésuz
2021-03-01,1653,m,Pierre,8,5,Châtel-Montsalvens/Crésuz
2021-03-01,1654,w,n/a,4,3,Cerniat FR
2021-03-01,1656,m,Michel,8,2,Im Fang/Jaun
2021-03-01,1656,m,Beat,7,3,Im Fang/Jaun
2021-03-01,1656,m,Otto,6,5,Im Fang/Jaun
2021-03-01,1657,w,n/a,4,1,Abländschen
2021-03-01,1657,m,n/a,3,2,Abländschen
2021-03-01,1658,w,Catherine,7,1,Rossinière/La Tine
2021-03-01,1658,w,n/a,5,3,Rossinière/La Tine
2021-03-01,1658,m,Marc,7,2,Rossinière/La Tine
2021-03-01,1659,w,Isabelle,8,4,Flendruz/Rougemont
2021-03-01,1659,w,Eliane,8,4,Flendruz/Rougemont
2021-03-01,1659,w,Christine,8,4,Flendruz/Rougemont
2021-03-01,1659,w,Catherine,8,4,Flendruz/Rougemont
2021-03-01,1659,w,Elisabeth,8,4,Flendruz/Rougemont
2021-03-01,1660,w,Maria,38,1,Les Moulins/L'Etivaz/La Lécherette/Château-d'Oex
2021-03-01,1660,m,Philippe,52,1,Les Moulins/L'Etivaz/La Lécherette/Château-d'Oex
2021-03-01,1663,w,Chantal,14,4,Pringy/Epagny/Moléson-s-Gruyères/Gruyères
2021-03-01,1663,m,Philippe,20,2,Pringy/Epagny/Moléson-s-Gruyères/Gruyères
2021-03-01,1663,m,Daniel,19,5,Pringy/Epagny/Moléson-s-Gruyères/Gruyères
2021-03-01,1665,w,n/a,4,1,Estavannens
2021-03-01,1665,m,Nicolas,7,1,Estavannens
2021-03-01,1665,m,n/a,5,4,Estavannens
2021-03-01,1666,w,Isabelle,10,1,Villars-sous-Mont/Grandvillard
2021-03-01,1666,m,Philippe,14,1,Villars-sous-Mont/Grandvillard
2021-03-01,1666,m,Jean-Pierre,11,2,Villars-sous-Mont/Grandvillard
2021-03-01,1666,m,Laurent,10,3,Villars-sous-Mont/Grandvillard
2021-03-01,1667,w,Nathalie,8,1,Enney
2021-03-01,1667,w,Maria,8,1,Enney
2021-03-01,1667,w,Sophie,6,3,Enney
2021-03-01,1667,w,Catherine,6,3,Enney
2021-03-01,1667,m,Nicolas,9,2,Enney
2021-03-01,1667,m,Patrick,7,3,Enney
2021-03-01,1667,m,Carlos,7,3,Enney
2021-03-01,1669,w,Monique,13,4,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1669,w,Isabelle,10,5,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1669,m,Philippe,21,1,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1669,m,François,18,2,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1669,m,Joseph,14,4,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1669,m,Daniel,14,4,Albeuve/Montbovon/Neirivue/Lessoc/Sciernes-d'Albeuve
2021-03-01,1670,w,Maria,14,1,Bionnens/Esmonts/Ursy
2021-03-01,1670,w,Monique,12,3,Bionnens/Esmonts/Ursy
2021-03-01,1670,w,Patricia,12,3,Bionnens/Esmonts/Ursy
2021-03-01,1670,w,Sophie,10,5,Bionnens/Esmonts/Ursy
2021-03-01,1670,w,Ana,10,5,Bionnens/Esmonts/Ursy
2021-03-01,1670,m,Christian,14,2,Bionnens/Esmonts/Ursy
2021-03-01,1670,m,Maxime,12,5,Bionnens/Esmonts/Ursy
2021-03-01,1670,m,Alexandre,12,5,Bionnens/Esmonts/Ursy
2021-03-01,1673,w,Chantal,14,2,Auboranges/Promasens/Gillarens/Ecublens FR/Rue
2021-03-01,1673,w,Corinne,12,4,Auboranges/Promasens/Gillarens/Ecublens FR/Rue
2021-03-01,1674,m,Michel,7,3,Vuarmarens/Montet (Glâne)/Morlens
2021-03-01,1675,w,Monique,9,1,Vauderens/Blessens/Mossel
2021-03-01,1675,w,Véronique,7,4,Vauderens/Blessens/Mossel
2021-03-01,1675,w,Corinne,7,4,Vauderens/Blessens/Mossel
2021-03-01,1675,m,Christophe,11,1,Vauderens/Blessens/Mossel
2021-03-01,1675,m,Sébastien,10,2,Vauderens/Blessens/Mossel
2021-03-01,1676,w,n/a,3,5,Chavannes-Forts
2021-03-01,1677,w,n/a,3,3,Prez-vers-Siviriez
2021-03-01,1677,m,n/a,3,2,Prez-vers-Siviriez
2021-03-01,1678,w,Maria,12,1,Siviriez
2021-03-01,1678,w,Sandra,9,2,Siviriez
2021-03-01,1678,w,Marguerite,7,3,Siviriez
2021-03-01,1678,w,Christine,6,5,Siviriez
2021-03-01,1678,w,Claudine,6,5,Siviriez
2021-03-01,1678,m,André,12,1,Siviriez
2021-03-01,1678,m,Nicolas,11,2,Siviriez
2021-03-01,1678,m,Manuel,11,2,Siviriez
2021-03-01,1678,m,Michel,10,5,Siviriez
2021-03-01,1680,w,Patricia,37,2,Romont FR/Berlens
2021-03-01,1680,w,Monique,30,4,Romont FR/Berlens
2021-03-01,1680,m,José,61,1,Romont FR/Berlens
2021-03-01,1681,w,Sarah,6,2,Hennens/Billens
2021-03-01,1681,w,n/a,5,5,Hennens/Billens
2021-03-01,1681,m,Daniel,10,1,Hennens/Billens
2021-03-01,1681,m,Christian,8,3,Hennens/Billens
2021-03-01,1681,m,Florian,6,5,Hennens/Billens
2021-03-01,1681,m,Alexandre,6,5,Hennens/Billens
2021-03-01,1681,m,Patrick,6,5,Hennens/Billens
2021-03-01,1682,w,Nathalie,6,3,Lovatens/Dompierre VD/Cerniaz VD/Villars-Bramard/Prévonloup
2021-03-01,1682,w,Christiane,6,3,Lovatens/Dompierre VD/Cerniaz VD/Villars-Bramard/Prévonloup
2021-03-01,1682,m,David,10,1,Lovatens/Dompierre VD/Cerniaz VD/Villars-Bramard/Prévonloup
2021-03-01,1683,m,n/a,4,3,Brenles/Chesalles-Moudon/Sarzens
2021-03-01,1684,w,Martine,8,1,Mézières FR
2021-03-01,1684,w,Claudia,6,4,Mézières FR
2021-03-01,1684,w,Marie,6,4,Mézières FR
2021-03-01,1684,w,Mélanie,6,4,Mézières FR
2021-03-01,1684,m,Nicolas,9,1,Mézières FR
2021-03-01,1684,m,Jacques,6,5,Mézières FR
2021-03-01,1684,m,Yves,6,5,Mézières FR
2021-03-01,1684,m,Bernard,6,5,Mézières FR
2021-03-01,1685,w,n/a,5,1,Villariaz
2021-03-01,1685,w,n/a,3,3,Villariaz
2021-03-01,1685,m,n/a,5,4,Villariaz
2021-03-01,1686,m,n/a,4,2,Grangettes-Romont/La Neirigue
2021-03-01,1686,m,n/a,3,5,Grangettes-Romont/La Neirigue
2021-03-01,1687,w,Anne-Marie,7,4,La Magne/Estévenens/Vuisternens-Romont
2021-03-01,1687,w,Véronique,7,4,La Magne/Estévenens/Vuisternens-Romont
2021-03-01,1687,m,David,14,1,La Magne/Estévenens/Vuisternens-Romont
2021-03-01,1687,m,Bernard,13,2,La Magne/Estévenens/Vuisternens-Romont
2021-03-01,1687,m,Gabriel,11,3,La Magne/Estévenens/Vuisternens-Romont
2021-03-01,1688,m,Philippe,6,1,Sommentier/Lieffrens
2021-03-01,1688,m,n/a,4,3,Sommentier/Lieffrens
2021-03-01,1689,w,Christine,6,1,Châtelard-p-Romont
2021-03-01,1689,m,n/a,5,4,Châtelard-p-Romont
2021-03-01,1690,w,Isabelle,15,1,Villaz-St-Pierre/Lussy FR
2021-03-01,1690,w,Anne-Marie,10,5,Villaz-St-Pierre/Lussy FR
2021-03-01,1690,m,Patrick,16,2,Villaz-St-Pierre/Lussy FR
2021-03-01,1690,m,Daniel,14,3,Villaz-St-Pierre/Lussy FR
2021-03-01,1690,m,Nicolas,13,4,Villaz-St-Pierre/Lussy FR
2021-03-01,1691,w,n/a,5,1,Villarimboud
2021-03-01,1692,m,Daniel,6,2,Massonnens
2021-03-01,1692,m,François,6,2,Massonnens
2021-03-01,1692,m,n/a,5,5,Massonnens
2021-03-01,1694,w,Catherine,9,2,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1694,w,Sylvie,9,2,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1694,w,Chantal,9,2,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1694,w,Elisabeth,9,2,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1694,m,Michel,16,2,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1694,m,André,12,4,Villarsiviriaux/Chavannes-Orsonnen/Villargiroud/Orsonnens
2021-03-01,1695,w,Laura,7,4,Estavayer-Gibloux/Rueyres-St-Laurent/Villarlod/Villarsel-Gibloux
2021-03-01,1695,w,Emilie,7,4,Estavayer-Gibloux/Rueyres-St-Laurent/Villarlod/Villarsel-Gibloux
2021-03-01,1695,m,Michel,17,1,Estavayer-Gibloux/Rueyres-St-Laurent/Villarlod/Villarsel-Gibloux
2021-03-01,1695,m,Philippe,13,2,Estavayer-Gibloux/Rueyres-St-Laurent/Villarlod/Villarsel-Gibloux
